step,epoch,loss,lr
1.0,0.0,1.0573792457580566,8e-08
2.0,0.0,1.0595896244049072,1.2e-07
3.0,0.0,1.058117389678955,1.6e-07
4.0,0.0,1.0595686435699463,2.0000000000000002e-07
5.0,0.0,1.0591938495635986,2.4e-07
6.0,0.0,1.0577881336212158,2.8e-07
7.0,0.0,1.0576481819152832,3.2e-07
8.0,0.0,1.0548245906829834,3.6e-07
9.0,0.0,1.0574877262115479,4.0000000000000003e-07
10.0,0.0,1.0540850162506104,4.4e-07
11.0,0.0,1.0574207305908203,4.8e-07
12.0,0.0,1.0523157119750977,5.2e-07
13.0,0.0,1.0520133972167969,5.6e-07
14.0,0.0,1.0490920543670654,6.000000000000001e-07
15.0,0.0,1.0424542427062988,6.4e-07
16.0,0.0,1.0485161542892456,6.8e-07
17.0,0.0,1.0433530807495117,7.2e-07
18.0,0.0,1.0435130596160889,7.6e-07
19.0,0.0,1.0413368940353394,8.000000000000001e-07
20.0,0.0,1.0364296436309814,8.4e-07
21.0,0.0,1.0383751392364502,8.8e-07
22.0,0.0,1.0327894687652588,9.2e-07
23.0,0.0,1.0346229076385498,9.6e-07
24.0,0.0,1.0282586812973022,1.0000000000000002e-06
25.0,0.0,1.0245195627212524,1.04e-06
26.0,0.0,1.028300404548645,1.08e-06
27.0,0.0,1.0282191038131714,1.12e-06
28.0,0.0,1.022131323814392,1.16e-06
29.0,0.0,1.0173228979110718,1.2000000000000002e-06
30.0,0.0,1.0153400897979736,1.24e-06
31.0,0.0,1.0116958618164062,1.28e-06
32.0,0.0,1.01055908203125,1.32e-06
33.0,0.0,1.0056321620941162,1.36e-06
34.0,0.0,0.9978944659233093,1.4000000000000001e-06
35.0,0.0,0.9948107004165649,1.44e-06
36.0,0.0,0.9968215823173523,1.4800000000000002e-06
37.0,0.0,0.9941679835319519,1.52e-06
38.0,0.0,0.9968547821044922,1.56e-06
39.0,0.0,0.9819740653038025,1.6000000000000001e-06
40.0,0.0,0.9825011491775513,1.6400000000000002e-06
41.0,0.0,0.9775325655937195,1.68e-06
42.0,0.0,0.9743084907531738,1.72e-06
43.0,0.0,0.9717113375663757,1.76e-06
44.0,0.0,0.9602932333946228,1.8e-06
45.0,0.0,0.9681212902069092,1.84e-06
46.0,0.0,0.9641672968864441,1.8800000000000002e-06
47.0,0.0,0.9521496295928955,1.92e-06
48.0,0.0,0.9530482292175293,1.96e-06
49.0,0.0,0.944757342338562,2.0000000000000003e-06
50.0,0.0,0.9436642527580261,2.0400000000000004e-06
51.0,0.0,0.9423551559448242,2.08e-06
52.0,0.0,0.9366220235824585,2.12e-06
53.0,0.0,0.9297103881835938,2.16e-06
54.0,0.0,0.9332048296928406,2.2e-06
55.0,0.0,0.9200339317321777,2.24e-06
56.0,0.0,0.9142817854881287,2.28e-06
57.0,0.0,0.9181885719299316,2.32e-06
58.0,0.0,0.90546053647995,2.36e-06
59.0,0.0,0.9019820094108582,2.4000000000000003e-06
60.0,0.0,0.9028462171554565,2.4400000000000004e-06
61.0,0.0,0.886713981628418,2.48e-06
62.0,0.0,0.886272132396698,2.52e-06
63.0,0.0,0.8871802091598511,2.56e-06
64.0,0.0,0.8717139959335327,2.6e-06
65.0,0.0,0.868959903717041,2.64e-06
66.0,0.0,0.864916980266571,2.68e-06
67.0,0.0,0.858273446559906,2.72e-06
68.0,0.0,0.8475375175476074,2.7600000000000003e-06
69.0,0.0,0.8527460098266602,2.8000000000000003e-06
70.0,0.0,0.8441962003707886,2.8400000000000003e-06
71.0,0.0,0.8422935009002686,2.88e-06
72.0,0.0,0.8315533399581909,2.92e-06
73.0,0.0,0.8351762294769287,2.9600000000000005e-06
74.0,0.0,0.8343700170516968,3e-06
75.0,0.0,0.8159996867179871,3.04e-06
76.0,0.0,0.817468523979187,3.08e-06
77.0,0.0,0.8033234477043152,3.12e-06
78.0,0.0,0.7968398332595825,3.1600000000000007e-06
79.0,0.0,0.7994736433029175,3.2000000000000003e-06
80.0,0.0,0.7927597761154175,3.24e-06
81.0,0.0,0.7876383662223816,3.2800000000000004e-06
82.0,0.0,0.7807142734527588,3.3200000000000004e-06
83.0,0.0,0.7803845405578613,3.36e-06
84.0,0.0,0.7783374786376953,3.4000000000000005e-06
85.0,0.0,0.7599343061447144,3.44e-06
86.0,0.0,0.7596526145935059,3.4799999999999997e-06
87.0,0.0,0.7567591071128845,3.52e-06
88.0,0.0,0.7380105257034302,3.5600000000000002e-06
89.0,0.0,0.7340197563171387,3.6e-06
90.0,0.0,0.7434327006340027,3.6400000000000003e-06
91.0,0.0,0.7129820585250854,3.68e-06
92.0,0.0,0.7236472964286804,3.72e-06
93.0,0.0,0.7173643112182617,3.7600000000000004e-06
94.0,0.0,0.710204541683197,3.8e-06
95.0,0.0,0.7012937068939209,3.84e-06
96.0,0.0,0.7055043578147888,3.88e-06
97.0,0.0,0.6866657733917236,3.92e-06
98.0,0.0,0.6970009803771973,3.96e-06
99.0,0.0,0.6674129366874695,4.000000000000001e-06
100.0,0.0,0.6636778116226196,4.04e-06
101.0,0.0,0.6532105207443237,4.080000000000001e-06
102.0,0.0,0.6491328477859497,4.12e-06
103.0,0.0,0.6423469185829163,4.16e-06
104.0,0.0,0.6350228786468506,4.2000000000000004e-06
105.0,0.0,0.6318074464797974,4.24e-06
106.0,0.0,0.6100921630859375,4.28e-06
107.0,0.0,0.6328794360160828,4.32e-06
108.0,0.0,0.5991058349609375,4.360000000000001e-06
109.0,0.0,0.5910298824310303,4.4e-06
110.0,0.0,0.5908252000808716,4.440000000000001e-06
111.0,0.0,0.5926903486251831,4.48e-06
112.0,0.0,0.5835975408554077,4.52e-06
113.0,0.0,0.5775929689407349,4.56e-06
114.0,0.0,0.5882784724235535,4.6e-06
115.0,0.0,0.5647287964820862,4.64e-06
116.0,0.0,0.5396267175674438,4.68e-06
117.0,0.0,0.5542891025543213,4.72e-06
118.0,0.0,0.5533841252326965,4.76e-06
119.0,0.0,0.5302364230155945,4.800000000000001e-06
120.0,0.0,0.5269643068313599,4.84e-06
121.0,0.0,0.5253878831863403,4.880000000000001e-06
122.0,0.0,0.5300695896148682,4.92e-06
123.0,0.0,0.5014131665229797,4.96e-06
124.0,0.0,0.5133147239685059,5e-06
